PP
negative,-0.6931471805599453
positive,-0.6931471805599453

LP
wow,negative,-5.236441962829949
crust,negative,-5.929589143389895
is,negative,-4.543294782270004
not,negative,-5.236441962829949
good,negative,-4.543294782270004
tasty,negative,-5.929589143389895
and,negative,-3.8501476017100584
the,negative,-3.6270040503958487
texture,negative,-5.929589143389895
was,negative,-4.137829674161839
just,negative,-5.929589143389895
nasty,negative,-5.929589143389895
now,negative,-5.929589143389895
i,negative,-4.830976854721785
am,negative,-5.929589143389895
getting,negative,-5.929589143389895
angry,negative,-5.929589143389895
want,negative,-5.929589143389895
my,negative,-4.830976854721785
damn,negative,-5.929589143389895
pho,negative,-5.929589143389895
honeslty,negative,-5.929589143389895
it,negative,-4.830976854721785
didn,negative,-5.929589143389895
t,negative,-5.929589143389895
taste,negative,-5.929589143389895
that,negative,-5.236441962829949
fresh,negative,-5.929589143389895
potatoes,negative,-5.929589143389895
were,negative,-4.830976854721785
like,negative,-5.929589143389895
rubber,negative,-5.929589143389895
you,negative,-5.929589143389895
could,negative,-5.236441962829949
tell,negative,-5.929589143389895
they,negative,-4.830976854721785
had,negative,-5.929589143389895
been,negative,-5.929589143389895
made,negative,-5.236441962829949
up,negative,-5.929589143389895
ahead,negative,-5.929589143389895
of,negative,-5.236441962829949
time,negative,-5.929589143389895
being,negative,-5.929589143389895
kept,negative,-5.929589143389895
under,negative,-5.929589143389895
a,negative,-4.543294782270004
warmer,negative,-5.929589143389895
would,negative,-5.929589143389895
go,negative,-5.929589143389895
back,negative,-5.929589143389895
cashier,negative,-5.929589143389895
no,negative,-5.929589143389895
care,negative,-5.929589143389895
what,negative,-5.929589143389895
so,negative,-4.137829674161839
ever,negative,-5.929589143389895
on,negative,-5.236441962829949
to,negative,-5.236441962829949
say,negative,-5.929589143389895
still,negative,-5.929589143389895
ended,negative,-5.929589143389895
wayyy,negative,-5.929589143389895
overpriced,negative,-5.929589143389895
disgusted,negative,-5.929589143389895
because,negative,-5.929589143389895
pretty,negative,-5.929589143389895
sure,negative,-5.929589143389895
human,negative,-5.929589143389895
hair,negative,-5.929589143389895
shocked,negative,-5.929589143389895
signs,negative,-5.929589143389895
indicate,negative,-5.929589143389895
cash,negative,-5.929589143389895
only,negative,-5.929589143389895
waitress,negative,-5.929589143389895
little,negative,-5.929589143389895
slow,negative,-5.929589143389895
in,negative,-5.236441962829949
service,negative,-4.830976854721785
did,negative,-5.929589143389895
at,negative,-5.929589143389895
all,negative,-4.830976854721785
burrittos,negative,-5.929589143389895
blah,negative,-5.929589143389895
worst,negative,-5.929589143389895
salmon,negative,-5.929589143389895
sashimi,negative,-5.929589143389895
this,negative,-4.320151230955794
final,negative,-5.929589143389895
blow,negative,-5.929589143389895
sucks,negative,-5.929589143389895
turkey,negative,-5.929589143389895
roast,negative,-5.929589143389895
beef,negative,-5.929589143389895
bland,negative,-5.929589143389895
pan,negative,-5.929589143389895
cakes,negative,-5.929589143389895
everyone,negative,-5.929589143389895
are,negative,-5.236441962829949
raving,negative,-5.929589143389895
about,negative,-5.929589143389895
sugary,negative,-5.929589143389895
disaster,negative,-5.929589143389895
tailored,negative,-5.929589143389895
palate,negative,-5.929589143389895
six,negative,-5.929589143389895
year,negative,-5.929589143389895
old,negative,-5.929589143389895
poor,negative,-5.929589143389895
batter,negative,-5.929589143389895
meat,negative,-5.929589143389895
ratio,negative,-5.929589143389895
chicken,negative,-5.929589143389895
tenders,negative,-5.929589143389895
very,negative,-5.236441962829949
unsatisfying,negative,-5.929589143389895
bye,negative,-5.929589143389895
your,negative,-5.929589143389895
tip,negative,-5.929589143389895
lady,negative,-5.929589143389895
we,negative,-5.929589143389895
ll,negative,-5.929589143389895
never,negative,-5.236441962829949
again,negative,-5.929589143389895
loved,negative,-4.830976854721785
place,negative,-4.543294782270004
stopped,negative,-5.236441962829949
by,negative,-4.543294782270004
during,negative,-5.236441962829949
late,negative,-5.236441962829949
may,negative,-5.236441962829949
bank,negative,-5.236441962829949
holiday,negative,-5.236441962829949
off,negative,-5.236441962829949
rick,negative,-5.236441962829949
steve,negative,-5.236441962829949
recommendation,negative,-5.236441962829949
selection,negative,-5.236441962829949
menu,negative,-4.830976854721785
great,negative,-4.320151230955794
prices,negative,-4.830976854721785
fries,negative,-5.236441962829949
too,negative,-5.236441962829949
touch,negative,-5.236441962829949
prompt,negative,-5.236441962829949
highly,negative,-5.236441962829949
recommended,negative,-5.236441962829949
also,negative,-5.236441962829949
cute,negative,-5.236441962829949
best,negative,-5.236441962829949
tacos,negative,-5.236441962829949
town,negative,-5.236441962829949
far,negative,-5.236441962829949
performed,negative,-5.236441962829949
s,negative,-4.830976854721785
right,negative,-5.236441962829949
red,negative,-5.236441962829949
velvet,negative,-5.236441962829949
cake,negative,-5.236441962829949
ohhh,negative,-5.236441962829949
stuff,negative,-5.236441962829949
found,negative,-5.236441962829949
accident,negative,-5.236441962829949
be,negative,-5.236441962829949
happier,negative,-5.236441962829949
each,negative,-5.236441962829949
day,negative,-5.236441962829949
week,negative,-5.236441962829949
have,negative,-5.236441962829949
different,negative,-5.236441962829949
deal,negative,-5.236441962829949
delicious,negative,-4.830976854721785
ample,negative,-5.236441962829949
portions,negative,-5.236441962829949
first,negative,-5.236441962829949
visit,negative,-5.236441962829949
hiro,negative,-5.236441962829949
delight,negative,-5.236441962829949
their,negative,-4.830976854721785
chow,negative,-5.236441962829949
mein,negative,-5.236441962829949
portion,negative,-5.236441962829949
huge,negative,-5.236441962829949
receives,negative,-5.236441962829949
